entryTime,exitTime,direction,entry,exit,size,pnl,result,reason
2025-11-28T16:45,2025-11-30T13:15,SHORT,90884.4,91793.24,125,-13.3749,LOSS,止损
2025-11-30T18:00,2025-12-01T00:00,SHORT,91246.2,89421.28,121.66,23.4803,WIN,止盈
2025-12-01T09:30,2025-12-01T12:00,LONG,86794.9,85926.95,127.53,-13.6457,LOSS,止损
2025-12-01T20:45,2025-12-02T01:00,LONG,85459.7,87168.89,124.11,23.9532,WIN,止盈
2025-12-02T08:30,2025-12-02T10:45,SHORT,86426.8,87291.07,130.1,-13.9207,LOSS,止损
2025-12-03T09:30,2025-12-03T22:45,SHORT,92856.9,93785.47,126.62,-13.5484,LOSS,止损
2025-12-04T00:45,2025-12-04T02:15,SHORT,93008,93938.08,123.24,-13.1867,LOSS,止损
2025-12-04T05:00,2025-12-04T19:00,SHORT,93156,91292.88,119.94,23.1484,WIN,止盈
2025-12-04T22:30,2025-12-05T09:15,LONG,92417.9,91493.72,125.73,-13.4531,LOSS,止损
2025-12-06T03:00,2025-12-07T13:15,LONG,89718.4,88821.22,122.36,-13.0925,LOSS,止损
2025-12-07T16:15,2025-12-07T17:30,LONG,89294.4,91080.29,119.09,22.9844,WIN,止盈
2025-12-08T01:15,2025-12-08T15:00,LONG,91100.1,90189.1,124.84,-13.3579,LOSS,止损
2025-12-08T20:45,2025-12-09T03:15,LONG,90735.4,89828.05,121.5,-13.0004,LOSS,止损
2025-12-09T07:30,2025-12-09T15:45,LONG,90419.9,92228.3,118.25,22.8223,WIN,止盈
2025-12-09T21:45,2025-12-10T20:00,SHORT,92593.4,93519.33,123.95,-13.2626,LOSS,止损
2025-12-10T22:00,2025-12-11T02:00,SHORT,92148.3,90305.33,120.64,23.2836,WIN,止盈
2025-12-11T18:00,2025-12-11T21:00,LONG,90281.9,92087.54,126.46,24.4068,WIN,止盈
2025-12-12T09:00,2025-12-12T15:30,SHORT,92301.5,90455.47,132.56,25.5841,WIN,止盈
2025-12-13T03:45,2025-12-14T11:30,LONG,90295,89392.05,138.96,-14.8687,LOSS,止损
