entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars,capAfter
2025-12-02T21:45,2025-12-03T02:15,LONG,91502.2,92874.733,50,3.575,true,止盈,18,170.24
2025-12-03T02:15,2025-12-03T05:00,SHORT,92750.9,93492.9072,51.07,-2.2215,false,止损,11,168.02
2025-12-03T07:30,2025-12-03T14:00,SHORT,93046,91650.31,50.41,3.6043,true,止盈,26,171.62
2025-12-03T14:00,2025-12-03T14:30,LONG,91985.9,93365.6885,51.49,3.6815,true,止盈,2,175.31
2025-12-03T14:45,2025-12-03T18:00,SHORT,92308.3,93046.7664,52.59,-2.2877,false,止损,13,173.02
2025-12-03T21:45,2025-12-04T14:45,SHORT,93643.4,92238.749,51.91,3.7116,true,止盈,68,176.73
2025-12-04T14:45,2025-12-04T19:15,LONG,91862.1,91127.2032,53.02,-2.3064,false,止损,18,174.42
2025-12-04T23:30,2025-12-05T13:15,SHORT,92069.9,90688.8515,52.33,3.7416,true,止盈,55,178.17
2025-12-05T13:30,2025-12-05T16:00,LONG,90388.5,89665.392,53.45,-2.3251,false,止损,10,175.84
2025-12-05T16:00,2025-12-05T16:30,LONG,89317.7,88603.1584,52.75,-2.2946,false,止损,2,173.55
2025-12-05T16:30,2025-12-05T18:00,LONG,88361.6,89687.024,52.06,3.7223,true,止盈,6,177.27
2025-12-05T19:45,2025-12-05T22:00,LONG,89601.4,88884.5888,53.18,-2.3133,false,止损,9,174.95
2025-12-06T00:30,2025-12-07T13:15,LONG,89394,88678.848,52.49,-2.2833,false,止损,147,172.67
2025-12-07T13:15,2025-12-07T14:15,LONG,88870.1,88159.1392,51.8,-2.2533,false,止损,4,170.42
2025-12-07T14:15,2025-12-07T15:45,LONG,87871.2,89189.268,51.13,3.6558,true,止盈,6,174.07
2025-12-07T17:15,2025-12-07T18:00,SHORT,90687.4,91412.8992,52.22,-2.2716,false,止损,3,171.8
2025-12-07T22:00,2025-12-08T01:00,LONG,89334.7,90674.7205,51.54,3.6851,true,止盈,12,175.49
2025-12-08T06:00,2025-12-08T09:00,SHORT,91335.4,92066.0832,52.65,-2.2903,false,止损,12,173.2
2025-12-08T09:00,2025-12-08T15:00,SHORT,92024.8,90644.428,51.96,3.7151,true,止盈,24,176.91
2025-12-08T15:00,2025-12-09T05:15,LONG,90198.9,89477.3088,53.07,-2.3085,false,止损,57,174.6
2025-12-09T11:45,2025-12-09T15:30,LONG,90336.5,91691.5475,52.38,3.7452,true,止盈,15,178.35
2025-12-09T15:30,2025-12-09T15:45,SHORT,92020.1,92756.2608,53.5,-2.3272,false,止损,1,176.02
2025-12-09T15:45,2025-12-09T16:00,SHORT,92657.1,93398.3568,52.81,-2.2972,false,止损,1,173.72
2025-12-09T16:00,2025-12-09T16:30,SHORT,93407,94154.256,52.12,-2.2672,false,止损,2,171.46
2025-12-09T16:30,2025-12-09T20:15,SHORT,94199,92786.015,51.44,3.678,true,止盈,15,175.13
2025-12-10T04:30,2025-12-10T11:45,LONG,92522.9,91782.7168,52.54,-2.2855,false,止损,29,172.85
2025-12-10T16:15,2025-12-10T19:00,SHORT,92441,93180.528,51.85,-2.2555,false,止损,11,170.59
2025-12-10T19:00,2025-12-10T20:00,SHORT,92964.8,93708.5184,51.18,-2.2263,false,止损,4,168.37
2025-12-10T20:00,2025-12-10T20:45,SHORT,94225,92811.625,50.51,3.6115,true,止盈,3,171.98
2025-12-10T21:15,2025-12-11T01:00,SHORT,92322.4,90937.564,51.59,3.6887,true,止盈,15,175.67
2025-12-11T02:00,2025-12-11T03:00,LONG,90196.9,89475.3248,52.7,-2.2924,false,止损,4,173.38
2025-12-11T14:45,2025-12-11T18:30,LONG,89502.6,90845.139,52.01,3.7187,true,止盈,15,177.09
2025-12-11T18:30,2025-12-11T21:00,SHORT,91107,91835.856,53.13,-2.3112,false,止损,10,174.78
2025-12-11T21:15,2025-12-12T00:45,SHORT,93251.6,91852.826,52.43,3.7487,true,止盈,14,178.53
2025-12-12T02:00,2025-12-12T15:15,LONG,92348.9,91610.1088,53.56,-2.3299,false,止损,53,176.2
2025-12-12T15:15,2025-12-12T15:45,LONG,90799.3,90072.9056,52.86,-2.2994,false,止损,2,173.9
2025-12-12T15:45,2025-12-14T11:30,LONG,89885.5,89166.416,52.17,-2.2694,false,止损,175,171.63
2025-12-14T11:30,2025-12-14T22:30,LONG,88828,88117.376,51.49,-2.2398,false,止损,44,169.39
2025-12-14T22:30,2025-12-15T02:00,LONG,88120,89441.8,50.82,3.6336,true,止盈,14,173.03
2025-12-15T02:00,2025-12-15T14:45,SHORT,89476.1,88133.9585,51.91,3.7116,true,止盈,51,176.74
2025-12-15T14:45,2025-12-15T15:15,LONG,88013,87308.896,53.02,-2.3064,false,止损,2,174.43
2025-12-15T15:15,2025-12-15T16:30,LONG,86829.9,86135.2608,52.33,-2.2764,false,止损,5,172.16
2025-12-15T21:00,2025-12-16T10:30,LONG,85600.1,86884.1015,51.65,3.693,true,止盈,54,175.85
2025-12-16T10:30,2025-12-16T15:45,SHORT,87085,87781.68,52.75,-2.2946,false,止损,21,173.55
2025-12-16T15:45,2025-12-17T05:00,SHORT,87924.6,86605.731,52.07,3.723,true,止盈,53,177.28
2025-12-17T05:00,2025-12-17T14:45,LONG,86587.9,87886.7185,53.18,3.8024,true,止盈,39,181.08
2025-12-17T14:45,2025-12-17T15:45,SHORT,89624.9,88280.5265,54.32,3.8839,true,止盈,4,184.96
2025-12-17T22:15,2025-12-18T13:00,LONG,86214.1,87507.3115,55.49,3.9675,true,止盈,59,188.93
2025-12-18T13:00,2025-12-18T13:30,SHORT,87858.7,88561.5696,56.68,-2.4656,false,止损,2,186.47
2025-12-18T13:30,2025-12-18T14:00,SHORT,88721,89430.768,55.94,-2.4334,false,止损,2,184.03
2025-12-18T17:00,2025-12-18T17:15,LONG,86346.6,85655.8272,55.21,-2.4016,false,止损,1,181.63
2025-12-18T17:15,2025-12-18T19:30,LONG,85866.9,85179.9648,54.49,-2.3703,false,止损,9,179.26
2025-12-18T22:45,2025-12-19T03:15,LONG,85530.3,86813.2545,53.78,3.8453,true,止盈,18,183.11
2025-12-19T03:15,2025-12-19T07:00,SHORT,87111.9,87808.7952,54.93,-2.3895,false,止损,15,180.72
2025-12-19T07:00,2025-12-19T15:15,SHORT,88105.7,88810.5456,54.21,-2.3581,false,止损,33,178.36
2025-12-19T15:45,2025-12-19T16:30,SHORT,87911.9,88615.1952,53.51,-2.3277,false,止损,3,176.03
2025-12-19T17:00,2025-12-21T09:15,SHORT,88051.1,88755.5088,52.81,-2.2972,false,止损,161,173.73
2025-12-21T13:15,2025-12-22T00:15,LONG,88179.8,89502.497,52.12,3.7266,true,止盈,44,177.46
2025-12-22T03:30,2025-12-22T11:30,LONG,88662.4,89992.336,53.24,3.8067,true,止盈,32,181.27
2025-12-22T12:15,2025-12-22T19:00,SHORT,90259.1,88905.2135,54.38,3.8882,true,止盈,27,185.15
2025-12-22T19:00,2025-12-22T19:45,LONG,88669.5,87960.144,55.55,-2.4164,false,止损,3,182.74
2025-12-22T19:45,2025-12-23T06:15,LONG,88012.4,87308.3008,54.82,-2.3847,false,止损,42,180.35
2025-12-23T06:15,2025-12-24T14:30,LONG,87170.3,86472.9376,54.11,-2.3538,false,止损,129,178
2025-12-25T15:30,2025-12-25T23:30,SHORT,88457.1,87130.2435,53.4,3.8181,true,止盈,32,181.82
2025-12-25T23:30,2025-12-26T02:15,LONG,87013.9,88319.1085,54.55,3.9003,true,止盈,11,185.72
2025-12-26T02:15,2025-12-26T14:45,SHORT,88962,87627.57,55.72,3.984,true,止盈,50,189.7
2025-12-26T14:45,2025-12-26T15:15,LONG,87355.8,86656.9536,56.91,-2.4756,false,止损,2,187.23
2025-12-26T15:15,2025-12-29T00:45,LONG,86972.6,88277.189,56.17,4.0162,true,止盈,230,191.24
2025-12-29T00:45,2025-12-29T02:00,SHORT,88243,88948.944,57.37,-2.4956,false,止损,5,188.75
2025-12-29T02:00,2025-12-29T03:30,SHORT,89191.6,89905.1328,56.62,-2.463,false,止损,6,186.28
2025-12-29T09:30,2025-12-29T12:00,LONG,88206.5,87500.848,55.89,-2.4312,false,止损,10,183.85
2025-12-29T14:45,2025-12-30T08:15,SHORT,87394.3,88093.4544,55.16,-2.3995,false,止损,70,181.45
2025-12-30T08:15,2025-12-30T14:45,SHORT,87776.9,88479.1152,54.44,-2.3681,false,止损,26,179.08
2025-12-30T14:45,2025-12-31T16:30,SHORT,88816.2,87483.957,53.73,3.8417,true,止盈,103,182.93
2025-12-31T20:30,2026-01-01T23:00,LONG,87410.4,88721.556,54.88,3.9239,true,止盈,106,186.85
2026-01-02T03:00,2026-01-02T10:00,SHORT,88925.1,89636.5008,56.06,-2.4386,false,止损,28,184.41
2026-01-02T10:00,2026-01-02T14:30,SHORT,89807.3,88460.1905,55.32,3.9554,true,止盈,18,188.37
2026-01-02T16:15,2026-01-02T16:30,SHORT,89997.4,90717.3792,56.51,-2.4582,false,止损,1,185.91
2026-01-02T16:30,2026-01-02T17:15,SHORT,90089.2,90809.9136,55.77,-2.426,false,止损,3,183.48
2026-01-02T19:00,2026-01-03T21:30,SHORT,89930,90649.44,55.04,-2.3942,false,止损,106,181.09
2026-01-04T00:00,2026-01-05T00:00,SHORT,91345.5,92076.264,54.33,-2.3634,false,止损,96,178.73
2026-01-05T00:00,2026-01-05T01:00,SHORT,91853.5,92588.328,53.62,-2.3325,false,止损,4,176.39
2026-01-05T01:00,2026-01-05T15:15,SHORT,92908,93651.264,52.92,-2.302,false,止损,57,174.09
2026-01-05T15:30,2026-01-05T20:15,SHORT,93792.5,94542.84,52.23,-2.272,false,止损,19,171.82
2026-01-05T20:15,2026-01-06T07:30,SHORT,94679.5,93259.3075,51.55,3.6858,true,止盈,45,175.5
2026-01-06T16:15,2026-01-06T17:30,LONG,92803.6,92061.1712,52.65,-2.2903,false,止损,5,173.21
2026-01-06T17:45,2026-01-06T21:15,LONG,91564.7,92938.1705,51.96,3.7151,true,止盈,14,176.93
2026-01-06T21:15,2026-01-07T09:15,SHORT,93478.3,92076.1255,53.08,3.7952,true,止盈,48,180.72
2026-01-07T09:15,2026-01-07T15:15,LONG,91925,91189.6,54.22,-2.3586,false,止损,24,178.37
2026-01-07T15:15,2026-01-08T06:00,LONG,91241,90511.072,53.51,-2.3277,false,止损,59,176.04
2026-01-08T06:15,2026-01-08T14:15,LONG,90235.9,89514.0128,52.81,-2.2972,false,止损,32,173.74
2026-01-08T14:15,2026-01-08T17:00,LONG,89601.4,90945.421,52.12,3.7266,true,止盈,11,177.47
2026-01-08T21:00,2026-01-09T08:30,LONG,91090.2,90361.4784,53.24,-2.3159,false,止损,46,175.15
2026-01-09T08:45,2026-01-09T15:15,LONG,89994.2,91344.113,52.55,3.7573,true,止盈,26,178.91
2026-01-09T15:15,2026-01-09T19:15,SHORT,91624.2,90249.837,53.67,3.8374,true,止盈,16,182.75
2026-01-09T22:45,2026-01-12T02:30,LONG,90585.5,91944.2825,54.82,3.9196,true,止盈,207,186.67
2026-01-12T08:30,2026-01-12T16:15,LONG,90536,91894.04,56,4.004,true,止盈,31,190.67
2026-01-12T16:15,2026-01-13T15:30,SHORT,92163,92900.304,57.2,-2.4882,false,止损,93,188.18
2026-01-13T15:30,2026-01-13T16:00,SHORT,92869.6,93612.5568,56.45,-2.4556,false,止损,2,185.73
2026-01-13T20:00,2026-01-13T22:00,SHORT,94267.9,95022.0432,55.72,-2.4238,false,止损,8,183.3
2026-01-13T22:00,2026-01-14T14:45,SHORT,95567.2,96331.7376,54.99,-2.3921,false,止损,67,180.91
