entryTime,exitTime,dir,entry,exit,size,pnl,win,reason,holdBars,capAfter
2025-09-14T13:00,2025-09-15T08:00,LONG,4612.75,4566.6225,50,-2.675,false,止损,19,163.99
2025-09-15T08:00,2025-09-15T15:00,LONG,4510.25,4465.1475,49.2,-2.6322,false,止损,7,161.36
2025-09-16T10:00,2025-09-16T13:00,LONG,4496.35,4451.3865,48.41,-2.5899,false,止损,3,158.77
2025-09-16T13:00,2025-09-16T14:00,LONG,4471.6,4426.884,47.63,-2.5482,false,止损,1,156.22
2025-09-16T14:00,2025-09-17T22:00,LONG,4444.8,4578.144,46.87,6.8665,true,止盈,32,163.09
2025-09-17T22:00,2025-09-19T04:00,LONG,4584.55,4538.7045,48.93,-2.6178,false,止损,30,160.47
2025-09-19T04:00,2025-09-22T00:00,SHORT,4556.3,4419.611,48.14,7.0525,true,止盈,68,167.52
2025-09-22T00:00,2025-09-22T02:00,LONG,4335.05,4291.6995,50.26,-2.6889,false,止损,2,164.83
2025-09-22T02:00,2025-09-22T05:00,LONG,4288.15,4245.2685,49.45,-2.6456,false,止损,3,162.19
2025-09-22T05:00,2025-09-22T06:00,LONG,4217.6,4175.424,48.66,-2.6033,false,止损,1,159.58
2025-09-23T01:00,2025-09-23T03:00,LONG,4161.8,4120.182,47.88,-2.5616,false,止损,2,157.02
2025-09-23T17:00,2025-09-24T04:00,LONG,4147.65,4106.1735,47.11,-2.5204,false,止损,11,154.5
2025-09-24T13:00,2025-09-24T14:00,SHORT,4149.25,4190.7425,46.35,-2.4797,false,止损,1,152.02
2025-09-24T18:00,2025-09-25T03:00,SHORT,4170.1,4044.997,45.61,6.6819,true,止盈,9,158.7
2025-09-25T03:00,2025-09-25T04:00,LONG,4061.35,4020.7365,47.61,-2.5471,false,止损,1,156.16
2025-09-25T04:00,2025-09-25T12:00,LONG,4001.5,3961.485,46.85,-2.5065,false,止损,8,153.65
2025-09-25T17:00,2025-09-26T01:00,LONG,3837,3952.11,46.1,6.7537,true,止盈,8,160.4
2025-09-26T17:00,2025-09-28T22:00,SHORT,4042.15,4082.5715,48.12,-2.5744,false,止损,53,157.83
2025-09-28T22:00,2025-09-29T13:00,SHORT,4129.9,4171.199,47.35,-2.5332,false,止损,15,155.3
2025-09-29T14:00,2025-09-29T20:00,SHORT,4185.45,4227.3045,46.59,-2.4926,false,止损,6,152.8
2025-09-29T20:00,2025-09-30T15:00,SHORT,4223.95,4097.2315,45.84,6.7156,true,止盈,19,159.52
2025-10-01T08:00,2025-10-01T14:00,SHORT,4289.35,4332.2435,47.86,-2.5605,false,止损,6,156.96
2025-10-02T03:00,2025-10-02T06:00,SHORT,4374.95,4418.6995,47.09,-2.5193,false,止损,3,154.44
2025-10-02T15:00,2025-10-02T18:00,SHORT,4434.8,4479.148,46.33,-2.4787,false,止损,3,151.96
2025-10-02T18:00,2025-10-03T03:00,SHORT,4485.1,4529.951,45.59,-2.4391,false,止损,9,149.52
2025-10-03T15:00,2025-10-03T16:00,SHORT,4533.1,4578.431,44.86,-2.4,false,止损,1,147.12
2025-10-03T16:00,2025-10-05T03:00,SHORT,4522.75,4567.9775,44.14,-2.3615,false,止损,35,144.76
2025-10-05T04:00,2025-10-06T13:00,SHORT,4571.9,4617.619,43.43,-2.3235,false,止损,33,142.44
