entryTime,exitTime,entry,exit,size,pnl,win,reason,holdBars,capAfter,rsiAtEntry
2025-09-16T06:00,2025-09-16T21:00,115725.1,116882.351,50,-2.675,false,止损,15,163.99,58.14912839273328
2025-09-17T03:00,2025-09-18T03:00,116308.2,117471.282,49.2,-2.6322,false,止损,24,161.36,55.50872196468308
2025-09-23T14:00,2025-09-24T14:00,112613.1,113739.231,48.41,-2.5899,false,止损,24,158.77,44.230615143020735
2025-09-24T14:00,2025-09-25T17:00,113650.6,110241.082,47.63,6.9778,true,止盈,27,165.75,66.18427147443538
2025-09-29T02:00,2025-09-29T13:00,111697.1,112814.071,49.72,-2.66,false,止损,11,163.09,74.42799034291554
2025-09-30T05:00,2025-10-01T08:00,113860.4,114999.004,48.93,-2.6178,false,止损,27,160.47,62.50725179939668
2025-10-12T16:00,2025-10-12T20:00,114022.4,115162.624,48.14,-2.5755,false,止损,4,157.89,65.47178955586277
2025-10-12T21:00,2025-10-14T06:00,114822.3,111377.631,47.37,6.9397,true,止盈,33,164.83,68.64839317443933
2025-10-18T18:00,2025-10-19T09:00,106794.1,107862.041,49.45,-2.6456,false,止损,15,162.19,48.671653888956506
2025-10-19T09:00,2025-10-19T14:00,107346,108419.46,48.66,-2.6033,false,止损,5,159.58,56.53241473881729
2025-10-19T14:00,2025-10-20T03:00,108352,109435.52,47.88,-2.5616,false,止损,13,157.02,66.31800452206383
2025-10-20T03:00,2025-10-20T06:00,110085.1,111185.951,47.11,-2.5204,false,止损,3,154.5,68.88137241907296
2025-10-20T16:00,2025-10-21T14:00,110632.6,111738.926,46.35,-2.4797,false,止损,22,152.02,59.91443332783228
2025-10-21T14:00,2025-10-21T15:00,112126.9,113248.169,45.61,-2.4401,false,止损,1,149.58,68.812642725405
2025-10-21T15:00,2025-10-21T22:00,113356.3,109955.611,44.87,6.5735,true,止盈,7,156.16,73.15689489942163
2025-10-23T06:00,2025-10-24T04:00,110181.1,111282.911,46.85,-2.5065,false,止损,22,153.65,67.60665450523109
2025-10-24T07:00,2025-10-24T12:00,111009,112119.09,46.1,-2.4663,false,止损,5,151.18,61.41041776798495
2025-10-24T13:00,2025-10-26T09:00,110879,111987.79,45.36,-2.4268,false,止损,44,148.76,56.17870401231757
2025-10-26T20:00,2025-10-26T22:00,113249,114381.49,44.63,-2.3877,false,止损,2,146.37,64.42974931719601
2025-10-27T20:00,2025-10-28T14:00,114391.8,115535.718,43.91,-2.3492,false,止损,18,144.02,46.83109710081853
2025-10-31T12:00,2025-10-31T14:00,109617.7,110713.877,43.21,-2.3117,false,止损,2,141.71,51.293202859420845
2025-10-31T15:00,2025-11-03T10:00,110134.8,106830.756,42.51,6.2277,true,止盈,67,147.94,53.900074492480634
2025-11-05T19:00,2025-11-06T16:00,103942.3,100824.031,44.38,6.5017,true,止盈,21,154.44,59.17001825871013
2025-11-07T22:00,2025-11-09T19:00,103569.4,104605.094,46.33,-2.4787,false,止损,45,151.96,64.1651009219798
2025-11-10T14:00,2025-11-10T17:00,104861.2,105909.812,45.59,-2.4391,false,止损,3,149.52,48.0983667540053
2025-11-10T18:00,2025-11-11T01:00,105421.4,106475.614,44.86,-2.4,false,止损,7,147.12,52.466185147916086
2025-11-11T01:00,2025-11-11T17:00,106056.7,102874.999,44.14,6.4665,true,止盈,16,153.59,56.83119331484203
2025-11-12T10:00,2025-11-12T16:00,104840,101694.8,46.08,6.7507,true,止盈,6,160.34,62.39229202559169
2025-11-13T07:00,2025-11-13T17:00,103407,100304.79,48.1,7.0467,true,止盈,10,167.38,57.723150546379486
2025-11-16T13:00,2025-11-17T18:00,95384.4,92522.868,50.22,7.3572,true,止盈,29,174.74,42.821780980284096
2025-11-18T17:00,2025-11-19T05:00,93219.8,90423.206,52.42,7.6795,true,止盈,12,182.42,59.361147512559
2025-11-20T03:00,2025-11-20T15:00,92402.9,89630.813,54.73,8.0179,true,止盈,12,190.44,59.38443099762993
2025-11-23T01:00,2025-11-23T04:00,85823.5,86681.735,57.13,-3.0565,false,止损,3,187.38,61.73759535623922
2025-11-23T05:00,2025-11-23T15:00,86316.3,87179.463,56.21,-3.0072,false,止损,10,184.37,64.18481672707344
