entryTime,exitTime,entry,exit,size,pnl,win,reason,holdBars,capAfter,rsiAtEntry
2025-09-17T04:00,2025-09-17T06:00,4475.4,4520.154,50,-2.675,false,止损,2,163.99,42.35440353055743
2025-09-17T07:00,2025-09-17T22:00,4541.65,4587.0665,49.2,-2.6322,false,止损,15,161.36,58.08669627841049
2025-09-18T06:00,2025-09-18T14:00,4570.4,4616.104,48.41,-2.5899,false,止损,8,158.77,55.605428117053556
2025-09-19T04:00,2025-09-22T00:00,4556.3,4419.611,47.63,6.9778,true,止盈,68,165.75,43.91893557449994
2025-09-24T18:00,2025-09-25T03:00,4170.1,4044.997,49.72,7.284,true,止盈,9,173.03,48.491091582412
2025-09-26T17:00,2025-09-28T22:00,4042.15,4082.5715,51.91,-2.7772,false,止损,53,170.25,62.0425848810028
2025-09-29T06:00,2025-09-29T09:00,4096.2,4137.162,51.08,-2.7328,false,止损,3,167.52,60.23893537428556
2025-09-29T11:00,2025-09-29T13:00,4101.65,4142.6665,50.26,-2.6889,false,止损,2,164.83,56.63329781433007
2025-09-29T14:00,2025-09-29T20:00,4185.45,4227.3045,49.45,-2.6456,false,止损,6,162.19,71.66367075555847
2025-09-29T20:00,2025-09-30T15:00,4223.95,4097.2315,48.66,7.1287,true,止盈,19,169.32,71.25964572633805
2025-09-30T21:00,2025-10-01T08:00,4150.55,4192.0555,50.79,-2.7173,false,止损,11,166.6,49.95274953057668
2025-10-01T08:00,2025-10-01T14:00,4289.35,4332.2435,49.98,-2.6739,false,止损,6,163.92,70.31351451890663
2025-10-12T14:00,2025-10-12T15:00,3974.05,4013.7905,49.18,-2.6311,false,止损,1,161.29,67.71828952394787
2025-10-12T15:00,2025-10-12T16:00,4032.75,4073.0775,48.39,-2.5889,false,止损,1,158.7,71.80246885511724
2025-10-13T11:00,2025-10-13T12:00,4078.75,4119.5375,47.61,-2.5471,false,止损,1,156.16,50.424733226345666
2025-10-13T14:00,2025-10-13T15:00,4093.65,4134.5865,46.85,-2.5065,false,止损,1,153.65,51.19640943688949
2025-10-13T17:00,2025-10-13T20:00,4233.4,4275.734,46.1,-2.4664,false,止损,3,151.18,64.86659093867746
2025-10-13T20:00,2025-10-14T03:00,4284,4155.48,45.36,6.6452,true,止盈,7,157.83,68.42974000248907
2025-10-14T03:00,2025-10-14T06:00,4151.55,4027.0035,47.35,6.9368,true,止盈,3,164.77,48.038304572807306
2025-10-14T19:00,2025-10-14T23:00,4100.95,4141.9595,49.43,-2.6445,false,止损,4,162.12,53.48067362421776
