entryTime,exitTime,entry,exit,size,pnl,win,reason,holdBars,capAfter,rsiAtEntry
2025-09-26T17:00,2025-09-26T22:00,201.25,203.2625,50,-2.675,false,止损,5,163.99,58.37097748172102
2025-09-27T01:00,2025-09-28T12:00,204.23,198.1031,49.2,7.2078,true,止盈,35,171.2,61.75797878126935
2025-09-28T18:00,2025-09-28T22:00,206.03,208.0903,51.36,-2.7478,false,止损,4,168.45,66.72226086923352
2025-09-29T10:00,2025-09-29T13:00,206.56,208.6256,50.54,-2.7039,false,止损,3,165.75,49.66328325221698
2025-09-29T14:00,2025-09-29T20:00,212.24,214.3624,49.72,-2.66,false,止损,6,163.09,66.31361478272557
2025-09-29T20:00,2025-09-30T08:00,214.27,207.8419,48.93,7.1682,true,止盈,12,170.26,66.40533969922414
2025-09-30T21:00,2025-10-01T08:00,209.54,211.6354,51.08,-2.7328,false,止损,11,167.52,54.41908856601232
2025-10-01T08:00,2025-10-01T12:00,216.43,218.5943,50.26,-2.6889,false,止损,4,164.83,66.8429995734115
2025-10-08T17:00,2025-10-08T18:00,226.77,229.0377,49.45,-2.6456,false,止损,1,162.19,60.49354117187133
2025-10-09T06:00,2025-10-09T08:00,226.44,219.6468,48.66,7.1287,true,止盈,2,169.32,52.01474657927916
2025-10-10T14:00,2025-10-10T15:00,219.66,213.0702,50.8,7.4422,true,止盈,1,176.76,46.220298129593054
2025-10-12T15:00,2025-10-12T16:00,191.06,192.9706,53.03,-2.8371,false,止损,1,173.92,65.18597930130082
2025-10-12T16:00,2025-10-12T17:00,193.59,195.5259,52.18,-2.7916,false,止损,1,171.13,68.18926102456697
2025-10-13T05:00,2025-10-13T06:00,193.94,195.8794,51.34,-2.7467,false,止损,1,168.38,55.888422773014355
2025-10-13T10:00,2025-10-13T15:00,195.36,197.3136,50.52,-2.7028,false,止损,5,165.68,55.511512506505866
2025-10-13T16:00,2025-10-13T17:00,199.97,201.9697,49.7,-2.6589,false,止损,1,163.02,61.11808068521866
2025-10-13T17:00,2025-10-13T19:00,204.98,207.0298,48.91,-2.6167,false,止损,2,160.41,67.06927803905194
2025-10-13T19:00,2025-10-13T22:00,206.97,209.0397,48.12,-2.5744,false,止损,3,157.83,69.17484209256648
2025-10-14T05:00,2025-10-14T06:00,199.67,193.6799,47.35,6.9368,true,止盈,1,164.77,46.52494698274801
2025-10-14T19:00,2025-10-14T20:00,198.47,200.4547,49.43,-2.6445,false,止损,1,162.12,48.7013831835339
2025-10-15T03:00,2025-10-15T05:00,201.57,203.5857,48.64,-2.6022,false,止损,2,159.52,52.84559513171596
2025-10-15T11:00,2025-10-15T14:00,202.51,204.5351,47.86,-2.5605,false,止损,3,156.96,50.80407924811098
2025-10-15T14:00,2025-10-15T20:00,199.45,193.4665,47.09,6.8987,true,止盈,6,163.86,42.14672453870895
2025-10-19T00:00,2025-10-19T05:00,185.67,187.5267,49.16,-2.6301,false,止损,5,161.23,50.705228240502485
2025-10-19T05:00,2025-10-19T09:00,186.45,188.3145,48.37,-2.5878,false,止损,4,158.64,53.62942854516985
2025-10-19T10:00,2025-10-19T13:00,188.97,190.8597,47.59,-2.5461,false,止损,3,156.1,61.47938782392924
2025-10-19T13:00,2025-10-20T00:00,190.51,184.7947,46.83,6.8606,true,止盈,11,162.96,65.72700969808238
