entryTime,exitTime,dir,entry,exit,size,pnl,win,reason
2025-09-14T21:00,2025-09-15T09:00,LONG,116011.6,114619.46,110,-9.779,false,止损
2025-09-23T14:00,2025-09-25T17:00,SHORT,112613.1,109234.71,107.85,22.12,true,止盈
2025-09-28T11:00,2025-09-28T20:00,SHORT,109337.2,110649.25,112.72,-10.0208,false,止损
2025-10-06T00:00,2025-10-07T15:00,LONG,123299.9,121820.3,110.51,-9.8243,false,止损
2025-10-09T02:00,2025-10-09T12:00,SHORT,121565,123023.78,108.35,-9.6323,false,止损
2025-10-09T12:00,2025-10-09T14:00,LONG,123488,122006.14,106.23,-9.4439,false,止损
2025-10-14T02:00,2025-10-14T10:00,SHORT,113580.4,110172.99,104.15,21.3612,true,止盈
2025-11-08T11:00,2025-11-09T14:00,SHORT,101811.9,103033.64,108.85,-9.6767,false,止损
2025-11-16T13:00,2025-11-17T18:00,SHORT,95384.4,92522.87,106.72,21.8883,true,止盈
2025-11-25T09:00,2025-11-26T17:00,SHORT,87194,88240.33,111.54,-9.9159,false,止损
2025-12-08T16:00,2025-12-08T21:00,SHORT,89940.5,91019.79,109.36,-9.7221,false,止损
2025-12-10T18:00,2025-12-11T00:00,LONG,92460.7,91351.17,107.22,-9.5319,false,止损
2025-12-17T05:00,2025-12-17T13:00,SHORT,86586.1,87625.13,105.12,-9.3451,false,止损
2025-12-25T23:00,2025-12-26T02:00,SHORT,87185.9,88232.13,103.06,-9.162,false,止损
2025-12-27T23:00,2025-12-29T12:00,LONG,87822.5,86768.63,101.05,-8.9833,false,止损
2025-12-31T16:00,2026-01-01T23:00,SHORT,87619.9,88671.34,99.07,-8.8073,false,止损
2026-01-11T23:00,2026-01-13T16:00,LONG,90970.5,93699.62,97.14,19.9235,true,止盈
2026-01-17T15:00,2026-01-18T23:00,LONG,95528.5,94382.16,101.52,-9.0251,false,止损
2026-01-22T14:00,2026-01-23T16:00,SHORT,89052,90120.62,99.53,-8.8482,false,止损
2026-01-26T16:00,2026-01-27T01:00,SHORT,87578.5,88629.44,97.59,-8.6757,false,止损
2026-01-27T16:00,2026-01-27T17:00,LONG,88595.4,87532.26,95.68,-8.5059,false,止损
2026-01-27T17:00,2026-01-27T20:00,SHORT,87508,88558.1,93.81,-8.3397,false,止损
2026-02-03T14:00,2026-02-03T15:00,SHORT,77166,78091.99,91.97,-8.1761,false,止损
2026-02-09T08:00,2026-02-09T17:00,SHORT,69839.3,70677.37,90.17,-8.0161,false,止损
2026-02-10T03:00,2026-02-11T04:00,SHORT,69473.7,67389.49,88.41,18.1329,true,止盈
2026-02-16T12:00,2026-02-16T13:00,LONG,69729.9,68893.14,92.4,-8.2144,false,止损
2026-02-16T13:00,2026-02-17T02:00,SHORT,68368.6,69189.02,90.59,-8.0534,false,止损
2026-02-18T11:00,2026-02-18T15:00,SHORT,67347.9,68156.07,88.82,-7.8961,false,止损
2026-02-26T16:00,2026-02-26T19:00,SHORT,66610.3,67409.62,87.08,-7.7414,false,止损
2026-03-02T14:00,2026-03-02T15:00,LONG,67125.6,69139.37,85.38,17.5115,true,止盈
2026-03-11T15:00,2026-03-12T02:00,LONG,70189,69346.73,89.23,-7.9326,false,止损
2026-03-12T11:00,2026-03-12T14:00,LONG,70377.3,69532.77,87.49,-7.7779,false,止损
